10:17:25 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
10:17:38 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
10:17:40 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
10:18:20 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:18:36 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:18:46 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:19:05 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:19:26 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:26:13 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:30:29 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:44:04 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
10:45:23 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
10:47:24 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
10:47:27 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
10:54:20 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?kk=%D0%92%D1%8B%D1%85%D0%BE%D0%B4|
10:54:21 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?i=yes|
10:54:25 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
11:08:39 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
11:12:42 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?kk=%D0%92%D1%8B%D1%85%D0%BE%D0%B4|
11:12:43 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?i=yes|
11:12:48 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
11:13:04 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
